#X         PSI_SQUARED
-0.0393631 1.18191   
0.708566   1.21484   
0.0594062  0.952428  
0.675959   0.914379  
-0.614019  0.667477  
1.54095    0.523098  
-0.690694  0.730633  
1.12482    0.949267  
1.74297    0.13253   
-1.19542   0.715304  
-0.831039  0.871638  
-0.707437  0.659624  
-1.3153    0.577509  
1.63507    0.191697  
1.18424    0.825192  
-1.12662   0.934069  
0.644877   0.461486  
0.731664   0.718633  
-0.884895  0.821606  
-1.07506   0.994117  
1.10263    0.937499  
-0.939767  0.866394  
-1.12353   0.830512  
-0.608027  0.260932  
-1.31652   0.355045  
0.76842    0.820895  
1.05908    0.409492  
-0.662389  0.731727  
-0.512544  0.29554   
0.731373   0.722013  
-1.10349   0.946304  
-1.53209   0.458009  
-1.20057   0.98486   
2.0427     0.0276258 
-0.717893  0.575324  
1.20277    0.997711  
0.982865   0.856019  
-1.14559   1.01661   
-0.918196  0.975673  
0.881016   0.870267  
-1.92664   0.299811  
-2.4765    0.0503159 
-1.40145   0.960016  
0.900028   0.884196  
1.90481    0.400454  
1.57459    0.697964  
1.09813    1.001     
1.33795    0.676896  
0.41177    0.56507   
-1.28384   0.715348  
-1.59778   0.295365  
0.159935   0.709409  
0.695951   1.11122   
0.812941   1.07032   
0.472161   1.00943   
-1.11271   0.357974  
0.296638   1.19312   
-1.04646   0.153431  
0.117704   0.577165  
0.855389   0.692378  
0.711564   0.998987  
-0.736442  0.905128  
0.765139   0.662464  
0.475549   0.965082  
-0.661971  0.66332   
-0.246099  0.897097  
0.584478   0.97533   
0.685795   0.467138  
0.681161   0.678664  
-0.204038  1.21172   
-0.105653  1.3552    
-0.439792  0.980881  
0.635051   1.10333   
0.915794   0.706831  
-0.869187  0.563406  
-0.242941  1.1986    
0.0277622  1.10794   
0.339104   1.77601   
-0.67697   1.41122   
0.0155805  2.09857   
0.326311   1.63859   
-1.14696   0.552886  
0.95202    0.985353  
-0.221656  1.90421   
0.108835   2.17015   
-0.582112  1.38857   
0.214505   2.39878   
0.553215   1.81559   
-1.14375   0.730965  
-0.219085  2.38879   
0.232143   2.52461   
1.3681     0.53387   
0.0233565  3.37838   
-0.631169  2.19161   
0.802944   1.64949   
0.327758   2.70362   
-0.359703  2.71847   
0.801581   1.82219   
-0.816176  1.59932   
0.442958   2.39214   
0.45457    2.24725   
-0.622146  1.95633   
0.272623   2.55673   
0.115142   2.26638   
0.0287244  2.30427   
-0.118766  2.23745   
-0.169375  2.29525   
-2.43132   0.0337731 
-1.05611   1.22577   
-0.539255  1.6805    
1.16613    0.98505   
-1.56976   0.404314  
-0.942486  1.12689   
-1.01098   0.972335  
0.420271   1.03906   
-0.802733  1.14862   
0.108149   1.37274   
-1.14175   0.968868  
0.414453   1.32503   
-0.114124  1.49748   
0.0246071  1.11343   
1.42887    0.550846  
-0.574203  1.00656   
-1.2654    0.775235  
1.89075    0.169579  
-1.4359    0.448202  
-1.32564   0.418623  
-0.475945  1.27096   
-0.227059  0.75377   
0.837666   1.02652   
0.565752   0.877769  
-0.862985  1.05042   
-0.705051  1.22557   
1.72529    0.139339  
