#ENERGY    ERROR     
-0.442196  0.00273944
-0.442173  0.00273651
-0.442203  0.00273365
-0.442289  0.00273198
-0.44231   0.00272905
-0.442243  0.00272686
-0.442209  0.00272407
-0.442204  0.00272108
-0.442186  0.00271815
-0.442146  0.00271548
-0.442187  0.00271282
-0.442228  0.00271016
-0.442328  0.00270903
-0.442383  0.00270664
-0.442418  0.0027039 
-0.442388  0.00270112
-0.442402  0.00269822
-0.442426  0.0026954 
-0.442516  0.00269395
-0.442556  0.00269133
-0.442565  0.00268843
-0.442606  0.00268584
-0.44264   0.00268314
-0.442551  0.00268173
-0.44259   0.00267913
-0.442536  0.00267678
-0.44253   0.00267391
-0.442624  0.0026727 
-0.442685  0.00267052
-0.442653  0.00266785
-0.442699  0.00266538
-0.442764  0.00266333
-0.442813  0.00266092
-0.442839  0.0026582 
-0.442914  0.00265642
-0.442803  0.00265592
-0.442802  0.00265309
-0.442804  0.00265027
-0.442711  0.00264907
-0.442747  0.0026465 
-0.44281   0.00264445
-0.442845  0.00264188
-0.442809  0.00263933
-0.442857  0.00263696
-0.442891  0.0026344 
-0.442918  0.00263176
-0.442975  0.00262959
-0.442968  0.00262683
-0.442992  0.00262417
-0.442889  0.00262341
-0.442917  0.00262081
-0.442942  0.00261818
-0.442992  0.00261591
-0.443196  0.00262116
-0.443204  0.00261843
-0.443165  0.00261598
-0.443209  0.00261362
-0.443248  0.00261119
-0.443226  0.00260857
-0.443241  0.0026059 
-0.443169  0.00260418
-0.443163  0.00260149
-0.4432    0.00259905
-0.443372  0.00260204
-0.443365  0.00259936
-0.443263  0.0025987 
-0.443218  0.00259641
-0.443311  0.00259539
-0.443269  0.00259305
-0.443132  0.00259398
-0.44303   0.00259332
-0.443042  0.00259068
-0.443075  0.00258823
-0.443156  0.00258685
-0.443105  0.00258471
-0.443014  0.00258367
-0.443053  0.00258133
-0.443216  0.00258381
-0.44298   0.0025919 
-0.443027  0.00258967
-0.443002  0.00258715
-0.443013  0.00258455
-0.442924  0.00258345
-0.442953  0.00258099
-0.442959  0.00257838
-0.442999  0.00257609
-0.443015  0.00257353
-0.443074  0.00257161
-0.44291   0.00257428
-0.442936  0.00257182
-0.443068  0.00257261
-0.44281   0.00258296
-0.442798  0.00258039
-0.442868  0.00257873
-0.442813  0.00257673
-0.442805  0.00257416
-0.442832  0.00257172
-0.442833  0.00256915
-0.442929  0.00256836
-0.442936  0.00256581
-0.442899  0.00256352
-0.44294   0.00256129
-0.442958  0.00255881
-0.442919  0.00255656
-0.442919  0.00255402
-0.442926  0.0025515 
-0.44287   0.00254959
-0.442734  0.00255067
-0.442778  0.00254853
-0.442875  0.00254782
-0.442931  0.00254594
-0.442968  0.00254369
-0.442919  0.00254164
-0.443023  0.00254125
-0.443074  0.00253926
-0.443055  0.00253683
-0.443129  0.00253543
-0.443089  0.00253328
-0.443032  0.00253143
-0.442903  0.00253221
-0.442817  0.0025312 
-0.442843  0.00252886
-0.442879  0.00252664
-0.442887  0.00252419
-0.442845  0.0025221 
-0.44298   0.00252325
-0.442951  0.00252096
-0.442924  0.00251865
-0.442948  0.00251633
-0.443008  0.0025146 
-0.443054  0.00251259
-0.443128  0.00251123
-0.443157  0.00250897
-0.443229  0.00250759
-0.443263  0.0025054 
-0.443195  0.00250391
-0.443156  0.00250181
-0.443182  0.00249954
-0.443138  0.00249753
-0.443048  0.00249674
-0.443125  0.00249554
-0.443171  0.00249357
-0.443225  0.00249176
-0.443196  0.00248954
-0.443248  0.0024877 
-0.443208  0.00248565
