#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         159     -7.544216e+00     -7.547327e+00      7.200284e-04
         160     -7.540551e+00     -7.547285e+00      7.167729e-04
         161     -7.558203e+00     -7.547353e+00      7.155218e-04
         162     -7.563863e+00     -7.547455e+00      7.183262e-04
         163     -7.541423e+00     -7.547418e+00      7.148719e-04
         164     -7.548039e+00     -7.547421e+00      7.105230e-04
         165     -7.533724e+00     -7.547338e+00      7.110497e-04
         166     -7.542800e+00     -7.547311e+00      7.072917e-04
         167     -7.531068e+00     -7.547214e+00      7.097126e-04
         168     -7.542498e+00     -7.547186e+00      7.060431e-04
         169     -7.536796e+00     -7.547124e+00      7.045370e-04
         170     -7.553836e+00     -7.547164e+00      7.014981e-04
         171     -7.546633e+00     -7.547161e+00      6.974026e-04
         172     -7.549225e+00     -7.547173e+00      6.934512e-04
         173     -7.535811e+00     -7.547107e+00      6.925458e-04
         174     -7.543807e+00     -7.547088e+00      6.888254e-04
         175     -7.548019e+00     -7.547093e+00      6.849098e-04
         176     -7.559458e+00     -7.547164e+00      6.846120e-04
         177     -7.527336e+00     -7.547052e+00      6.898484e-04
         178     -7.547928e+00     -7.547056e+00      6.859904e-04
         179     -7.554796e+00     -7.547100e+00      6.835195e-04
         180     -7.542831e+00     -7.547076e+00      6.801333e-04
         181     -7.547025e+00     -7.547076e+00      6.763758e-04
         182     -7.553513e+00     -7.547111e+00      6.735835e-04
         183     -7.546518e+00     -7.547108e+00      6.699105e-04
         184     -7.552308e+00     -7.547136e+00      6.668656e-04
         185     -7.545692e+00     -7.547128e+00      6.633066e-04
         186     -7.556090e+00     -7.547176e+00      6.614880e-04
         187     -7.535703e+00     -7.547115e+00      6.607897e-04
         188     -7.543938e+00     -7.547098e+00      6.574910e-04
         189     -7.554533e+00     -7.547138e+00      6.551878e-04
         190     -7.557511e+00     -7.547192e+00      6.540103e-04
         191     -7.543437e+00     -7.547173e+00      6.508816e-04
         192     -7.538632e+00     -7.547128e+00      6.490098e-04
         193     -7.531214e+00     -7.547046e+00      6.508638e-04
         194     -7.546911e+00     -7.547045e+00      6.475092e-04
         195     -7.548309e+00     -7.547051e+00      6.442211e-04
         196     -7.551643e+00     -7.547075e+00      6.413601e-04
         197     -7.555583e+00     -7.547118e+00      6.395570e-04
         198     -7.547838e+00     -7.547122e+00      6.363373e-04
         199     -7.549050e+00     -7.547131e+00      6.332134e-04
         200     -7.539359e+00     -7.547092e+00      6.312388e-04
